year,Bangladesh,Luxembourg,Philippines
1991,501.8348623853211,70984.45595854922,1698.4126984126983
1992,519.8198198198198,71173.4693877551,1658.9147286821706
1993,534.5132743362832,73299.74811083123,1649.016666399647
1994,540.5172413793103,75124.37810945274,1683.8995568685377
1995,558.4745762711865,75000.0,1717.171717171717
1996,,75060.53268765133,1777.150916784203
1997,590.1639344262295,78229.66507177033,1829.436038514443
1998,610.483870967742,82311.32075471699,1771.8120805369128
1999,624.4094488188977,88111.88811188811,1797.9002624671916
2000,647.2868217054264,92660.5504587156,1833.3333333333333
2001,664.3939393939394,94331.06575963719,1846.7336683417086
2002,679.8507462686567,96412.55605381166,1881.918819188192
2003,696.3503649635037,97782.70509977826,1930.0361881785284
2004,719.4244604316547,100218.3406113537,2021.276595744681
2005,758.8652482269504,101290.32258064517,2074.1599073001157
2006,797.2027972027972,105720.33898305085,2150.1706484641636
2007,847.2222222222222,112500.0,2243.3035714285716
2008,889.6551724137931,110020.44989775051,2300.1095290251915
